name,address,latitude,longitude,category,price_range,description,opening_time,closing_time,phone,website
Alinea,Calle Sierra Alhamilla 5 Roquetas,36.764000,-2.614000,restaurante,€€€,Cocina tradicional e internacional,13:00,23:00,950123474,
Arcilla,Calle Méndez Núñez 12 Mojácar,37.140000,-1.851000,restaurante,€€€,Guisos arroces y producto de proximidad,13:00,23:00,950123475,
La Villa,Calle Ensenada s/n Agua Amarga,36.939000,-1.938000,restaurante,€€€,Cocina de brasas y producto fresco,13:30,23:00,950123476,
Samambar,Calle Real s/n Rodalquilar,36.834000,-2.016000,restaurante,€€€,Producto almeriense y vinos naturales,13:30,23:00,950123477,
Juan Moreno,Plaza Toros s/n Vera,37.246000,-1.869000,restaurante,€€€,Referente del Levante almeriense,13:00,23:00,950123478,
Terraza Carmona,Av. Mediterráneo s/n Vera,37.245000,-1.868000,restaurante,€€€,Cocina de raíz con producto cercano,13:00,23:00,950123479,
Bodega Los Finos,Calle San Juan 22,36.837800,-2.466000,bar,€€,Bodega con vinos y tapas selectas,12:00,00:00,950123480,
Doña Lola Taberna Selecta,Plaza San Sebastián 10,36.837500,-2.466500,bar,€€,Taberna selecta con tapas gourmet,11:00,23:00,950123481,
La Consentida,Calle Mar 22,36.836000,-2.462000,restaurante,€€,Cocina mediterránea casera,13:00,23:00,950123482,
Ginos,Calle Granada 50,36.837200,-2.464000,italiano,€€,Pasta y pizza italiana,12:00,23:30,950123483,
Taberna El Andaluz,Calle Tiendas 12,36.838500,-2.467000,bar,€€,Tapas variadas y ambiente tradicional,10:00,00:00,950123484,
Bar El Bombón,Calle Gerona 15,36.836800,-2.463500,bar,€,Desayunos y tapas económicas,07:00,16:00,950123485,
La Pérgola,Paseo Almería 30,36.838000,-2.464000,restaurante,€€,Arroces y mariscos,13:00,23:30,950123486,
4 Nudos,Av. Cabo de Gata 24,36.830000,-2.457000,bar,€€,Cervecería con tapas variadas,10:00,00:00,950123487,
